Lam Bich,1234,2023-04-08T18:13:54.202678900,ETRANSFER,-400.0,4600.0
Ong Long,5678,2023-04-08T18:13:54.206678900,ETRANSFER,400.0,4400.0
Lam Bich,1234,2023-04-08T18:14:03.294739200,DEPOSIT,600.0,5200.0
Lam Bich,1234,2023-04-08T18:14:23.899806200,WITHDRAW,-400.0,4800.0
Lam Bich,1234,2023-04-08T18:17:23.113033600,WITHDRAW,-300.0,4500.0
Lam Bich,1234,2023-04-08T18:19:55.516538500,DEPOSIT,300.0,4800.0
Lam Bich,1234,2023-04-08T18:20:01.499814100,WITHDRAW,-200.0,4600.0
Lam Bich,1234,2023-04-08T18:21:18.115410400,WITHDRAW,-200.0,4400.0
Lam Bich,1234,2023-04-08T21:03:35.611013500,DEPOSIT,200.0,4600.0
Lam Bich,1234,2023-04-08T21:03:55.197719200,WITHDRAW,-300.0,4300.0
Lam Bich,1234,2023-04-08T21:04:30.888527400,WITHDRAW,5000.0,9300.0
Lam Bich,1234,2023-04-08T21:06:05.466949100,ETRANSFER,-4000.0,5300.0
Ong Long,5678,2023-04-08T21:06:05.467952300,ETRANSFER,4000.0,8400.0
Lam Bich,1234,2023-04-09T00:16:39.294591700,WITHDRAW,-200.0,5100.0
Lam Bich,1234,2023-04-09T00:16:51.110169800,DEPOSIT,200.0,5300.0
Minh Do,2345,2023-04-09T00:19:59.516410100,ETRANSFER,-300.0,4200.0
Ong Long,5678,2023-04-09T00:19:59.521411100,ETRANSFER,300.0,8700.0
Minh Do,2345,2023-04-09T00:20:06.978554500,ETRANSFER,-200.0,4000.0
Lam Bich,1234,2023-04-09T00:20:06.979555,ETRANSFER,200.0,5500.0
Minh Do,2345,2023-04-09T00:20:16.990878700,DEPOSIT,500.0,4500.0
Minh Do,2345,2023-04-09T00:20:26.837644800,WITHDRAW,-400.0,4100.0
Lam Bich,1234,2023-04-09T14:25:48.502854600,ETRANSFER,-200.0,5300.0
Ong Long,5678,2023-04-09T14:25:48.507854400,ETRANSFER,200.0,8900.0
Ong Long,5678,2023-04-15T15:23:17.249184200,DEPOSIT,200.0,9100.0
Ong Long,5678,2023-04-15T15:23:42.381638500,WITHDRAW,-200.0,8900.0
Ong Long,5678,2023-04-15T16:00:00.700945,ETRANSFER,-200.0,8700.0
Lam Bich,1234,2023-04-15T16:00:00.706463300,ETRANSFER,200.0,6100.0
